,oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
83,ZTF18acvwate,RRL,0.5233869999999999,LINEAR,30,30,0.2690153121948242,0.5234013412217895
84,ZTF18aagrejo,RRL,0.31871,CRTSnorth,36,24,0.2560145854949951,0.31871286873010163
85,ZTF18aaswimr,RRL,0.573562,LINEAR,35,25,0.27301549911499023,0.5735888485891307
86,ZTF18abobpkr,RRL,0.5688,GAIADR2VS,39,21,0.26201510429382324,0.5687801851814068
87,ZTF18aaannzt,RRL,0.6517470000000001,LINEAR,28,32,0.25701475143432617,0.6517287780628107
88,ZTF18aaspmxa,RRL,0.390407,LINEAR,39,21,0.2540144920349121,0.3904118433380173
89,ZTF17aabwnpv,RRL,0.631851,LINEAR,28,32,0.26401519775390625,0.631841072518209
90,ZTF18abdlbwj,RRL,0.669471,GAIADR2VS,25,35,0.2590148448944092,0.6694273897518757
91,ZTF17aadfzdl,RRL,0.4923016,ASASSN,31,29,0.2560145854949951,0.49233004788627077
92,ZTF18abcriss,RRL,0.337761,CRTSnorth,41,19,0.2560145854949951,0.5107734836156389
93,ZTF17aacrooq,RRL,0.609953,LINEAR,35,25,0.25301456451416016,0.6099792050736218
94,ZTF17aaaeylm,RRL,0.279967,ASASSN,25,35,0.25501441955566406,0.6372493176819767
95,ZTF17aabuxfe,RRL,0.310377,CRTSnorth,25,35,,
96,ZTF18aaylsli,RRL,0.6050678,GAIADR2VS,38,22,0.26601505279541016,0.60510199415699
97,ZTF18acgmezv,RRL,0.272105,CRTSnorth,32,28,0.26601529121398926,0.27210389693429793
98,ZTF18abnjust,RRL,0.3550124,CRTSnorth,34,26,0.2540144920349121,0.3550097109268006
99,ZTF17aaadowi,RRL,0.561542,GAIADR2VS,33,27,,
