oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeyrl,RRL,0.4752162,GAIADR2VS,30,30,0.44002509117126465,0.4752209682153387
ZTF18aaoemnc,RRL,0.5934010000000001,LINEAR,30,30,0.40502333641052246,0.5934345530374898
ZTF18abddqtn,RRL,0.626065,LINEAR,30,30,0.41602396965026855,0.6260706563109385
ZTF18acrygnp,RRL,0.708755,LINEAR,30,30,0.4060232639312744,0.7087321774339616
ZTF18aabasna,RRL,0.399636,CRTSnorth,30,30,0.4080233573913574,0.39963666126502767
ZTF18abbwgvd,RRL,0.576689,ASASSN,30,30,0.41402363777160645,0.5766919186956881
ZTF18aabhkoz,RRL,0.33383,CRTSnorth,30,30,0.5180294513702393,0.3338304152579865
ZTF18abjhvuc,RRL,0.272071,CRTSnorth,30,30,0.5070290565490723,0.272068407050483
ZTF17aaajahq,RRL,0.5326960000000001,LINEAR,30,30,0.5150291919708252,0.5326774117109435
ZTF18abcxivv,RRL,0.61552,ASASSN,30,30,0.5060288906097412,0.6155852883896206
ZTF18aazgeoe,RRL,0.712364,LINEAR,30,30,0.46802687644958496,0.7123621003459472
ZTF18abxnnxr,RRL,0.357637,CRTSnorth,30,30,0.45102596282958984,0.35767531511803946
ZTF18abginjf,RRL,0.45482,ASASSN,30,30,0.5140295028686523,0.4548016362661477
ZTF18aaavvzf,RRL,0.550248,LINEAR,30,30,0.5080292224884033,0.26177312418031906
ZTF18aaaufty,RRL,0.62247,LINEAR,30,30,0.4930281639099121,0.6224584739603943
ZTF18adalcij,RRL,0.6070224,GAIADR2VS,30,30,0.5040290355682373,0.6069975525980855
ZTF18aabpxgl,RRL,0.5922,ASASSN,30,30,0.4540259838104248,0.5921829938485561
ZTF19abmyimo,RRL,0.6911464,GAIADR2VS,30,30,0.4480257034301758,0.6910202719931742
ZTF18aaxmitn,RRL,0.3626436,CRTSnorth,30,30,0.4410252571105957,0.3626316724543961
ZTF18acyevoe,RRL,0.6122850000000001,LINEAR,30,30,0.4430253505706787,0.612336766242073
ZTF18acwzcdx,RRL,0.6181564,CRTSnorth,30,30,0.5140292644500732,0.6181578113409096
ZTF17aackjce,RRL,0.5845666,CRTSnorth,30,30,0.45702624320983887,0.5845309139116248
ZTF18acvgzsb,RRL,0.6914785,ASASSN,30,30,0.5060288906097412,0.46548726966221154
ZTF17aaajhdq,RRL,0.556607,LINEAR,30,30,0.5050287246704102,0.5565786247151835
ZTF18aaactnp,RRL,0.647415,CRTSnorth,30,30,0.5110292434692383,0.6474283540485947
ZTF17aacloxd,RRL,0.5843403,GAIADR2VS,30,30,0.5070290565490723,0.5843480550824233
ZTF18aaoelut,RRL,0.696965,LINEAR,30,30,0.5110292434692383,0.6969713892213995
ZTF18abjrfio,RRL,0.2482016,ASASSN,30,30,0.5070288181304932,0.33048002568538215
ZTF17aacnrpn,RRL,0.3595219,CRTSnorth,30,30,0.5120294094085693,0.562235873471109
ZTF18aajpijx,RRL,0.55812,LINEAR,30,30,0.49402832984924316,1.2673229836735647
ZTF18abfnnjp,RRL,0.6455122,GAIADR2VS,30,30,0.45102548599243164,0.6454738233535968
ZTF18aaxmnik,RRL,0.2988912,CRTSnorth,30,30,0.4480257034301758,0.42681151226295566
ZTF18aaarlhj,RRL,0.595732,CRTSnorth,30,30,0.45102572441101074,0.5957436887483898
ZTF18aaandqb,RRL,0.664704,LINEAR,30,30,0.47502708435058594,0.6646809451095967
ZTF18abpbnxu,RRL,0.57586,GAIADR2VS,30,30,0.5060288906097412,0.5758357799604534
ZTF18abcryqo,RRL,0.268618,CRTSnorth,30,30,0.5080292224884033,0.2686157606207539
ZTF18aaswimr,RRL,0.573562,LINEAR,30,30,0.5090291500091553,0.5735589519712795
ZTF18acuepty,RRL,0.4480905,CRTSnorth,30,30,0.48802804946899414,0.44804800327067057
ZTF18abeairt,RRL,0.3234308,CRTSnorth,30,30,0.44902586936950684,0.3234326568509166
ZTF17aabxpgx,RRL,0.3074816,CRTSnorth,30,30,0.4410252571105957,0.3074848930916166
ZTF18abtlrbk,RRL,0.362242,CRTSnorth,30,30,0.4040231704711914,0.36223491774329736
ZTF18aczeawm,RRL,0.5233353,GAIADR2VS,30,30,0.41002345085144043,0.5233740590569351
ZTF18abjtjsp,RRL,0.65168,GAIADR2VS,30,30,0.4500257968902588,0.65169481040331
ZTF18abtwmdy,RRL,0.3609489,CRTSnorth,30,30,0.49002814292907715,0.3609625659108864
ZTF18abespeg,RRL,0.270907,CRTSnorth,30,30,0.4480259418487549,0.2709008520697301
ZTF18abcedau,RRL,0.554372,LINEAR,30,30,0.4500255584716797,0.5543490403068398
ZTF18aakzpgv,RRL,0.592055,CRTSnorth,30,30,0.4710268974304199,0.5920903868472202
ZTF17aacnjwf,RRL,0.490411,LINEAR,30,30,0.5090291500091553,0.49039619142278074
ZTF18ablhpir,RRL,0.7068877,GAIADR2VS,30,30,0.5080292224884033,0.7069057404993038
ZTF17aadcvhp,RRL,0.5739,ASASSN,30,30,0.5070288181304932,0.5739179172062051
ZTF18abmefto,RRL,0.599825,GAIADR2VS,30,30,0.5070290565490723,0.599825863437232
ZTF18aayhuka,RRL,0.5213,GAIADR2VS,30,30,0.5100293159484863,0.5213046622810867
ZTF18abobphl,RRL,0.49038,GAIADR2VS,30,30,0.5230300426483154,0.49038339769198164
ZTF18aainbvb,RRL,0.5923015,CRTSnorth,30,30,0.44902586936950684,0.5922910528739872
ZTF19aahjdtk,RRL,0.3906462,ASASSN,30,30,0.4210240840911865,0.39069683415299034
ZTF18aaaopdk,RRL,0.480425,LINEAR,30,30,0.44002509117126465,0.4804393532891127
ZTF18aagrpik,RRL,0.5252593,CRTSnorth,30,30,0.5100290775299072,0.5252462754722046
ZTF18aaabpbc,RRL,0.523809,LINEAR,30,30,0.5080292224884033,0.5237834822031983
ZTF18aaxnnwz,RRL,0.596074,LINEAR,30,30,0.5080292224884033,0.5960698664188557
ZTF18acxattz,RRL,0.577747,LINEAR,30,30,0.5110292434692383,0.5777450776349687
ZTF18aavjmxq,RRL,0.279027,LINEAR,30,30,0.5190296173095703,0.2790273902902502
ZTF18adbioot,RRL,0.5906316,GAIADR2VS,30,30,0.5080289840698242,0.5905953276606503
ZTF18aajuwpp,RRL,0.5579168,ASASSN,30,30,0.5200297832489014,0.557900320653752
ZTF18aajsrxq,RRL,0.3797072,CRTSnorth,30,30,0.5050287246704102,0.27496992910016166
ZTF17aaaorpp,RRL,0.4799016,ASASSN,30,30,0.5150294303894043,0.47990113819949226
ZTF18acwzawp,RRL,0.560657,LINEAR,30,30,0.5050289630889893,0.5606700288478559
ZTF18abjkrmu,RRL,0.65868,GAIADR2VS,30,30,0.5150294303894043,0.6586792558505841
