oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aasnisf,Ceph,4.8733144,ASASSN,10,10,0.10700631141662598,4.872860827718328
ZTF17aabwqhv,Ceph,4.39124,CRTSnorth,10,10,0.0870048999786377,0.7436858435435426
ZTF18abayiew,Ceph,3.3024,ASASSN,10,10,0.08500480651855469,0.16346494673085188
ZTF18achypyv,Ceph,33.8249,CRTSnorth,10,10,0.08500480651855469,16.90096789034112
ZTF17aabpjhw,Ceph,0.8200492,ASASSN,10,10,0.08600497245788574,1.1348766650236966
ZTF17aabutnm,Ceph,8.1926797,ASASSN,10,10,0.08500480651855469,0.88907891470237
ZTF18acvdnhl,Ceph,1.3613017,ASASSN,10,10,0.0870048999786377,1.3612118928784045
ZTF18aaveqhe,Ceph,63.0362388,ASASSN,10,10,0.08800506591796875,31.426510862906323
ZTF18abdqbbq,Ceph,1.08175,CRTSnorth,10,10,0.08500480651855469,0.31260009849335313
ZTF19aadaesf,Ceph,38.453804,CRTSnorth,10,10,0.08600497245788574,38.364126163995316
ZTF18aagrijw,Ceph,1.242407,LINEAR,10,10,0.08800506591796875,0.9087355828672636
ZTF18acduxsw,Ceph,3.13871,ASASSN,10,10,0.08200478553771973,3.1382387967609207
ZTF18acpvmjm,Ceph,1.4580462,ASASSN,10,10,0.08600497245788574,3.1541474350892647
ZTF19acelhxy,Ceph,3.7992568,ASASSN,10,10,0.08600521087646484,3.8017814872018594
ZTF17aaadyzd,Ceph,4.5607572,ASASSN,10,10,0.08300471305847168,1.2764061357512468
ZTF17aabumnd,Ceph,1.4952694,CRTSnorth,10,10,0.08600497245788574,2.990505906004068
ZTF17aaattgz,Ceph,4.4102151,ASASSN,10,10,0.08400487899780273,4.411980471075478
ZTF18aaxmrja,Ceph,2.44832,CRTSnorth,10,10,0.08800506591796875,2.4488210302097486
ZTF18acvvybk,Ceph,2.07244,CRTSnorth,10,10,0.0890052318572998,27.91788094031674
ZTF17aaarsuk,Ceph,4.5607572,ASASSN,10,10,0.0890052318572998,4.563560539445518
ZTF18abgpbkr,Ceph,3.7555038,ASASSN,10,10,0.08500480651855469,3.753339874194708
ZTF18abadigg,Ceph,1.76708,CRTSnorth,10,10,0.09800553321838379,0.6374652677862911
ZTF17aabuwok,Ceph,3.52189,ASASSN,10,10,0.09000539779663086,3.522988196934723
ZTF18aaxddfx,Ceph,10.62586,ASASSN,10,10,0.09300541877746582,10.628664885445797
ZTF17aadpxct,Ceph,1.2226,ASASSN,10,10,0.09300518035888672,1.2224532352330444
ZTF17aaanoqn,Ceph,5.1462459,ASASSN,10,10,0.09000515937805176,5.151978799174401
ZTF18acvwfwb,Ceph,78.4132466,ASASSN,10,10,0.09200549125671387,79.61170660160246
ZTF18abnbiwm,Ceph,10.2204,CRTSnorth,10,10,0.09400510787963867,10.224868815086069
ZTF18abbltzs,Ceph,3.9999759,ASASSN,10,10,0.09300541877746582,3.9995871316821656
ZTF18abvpirg,Ceph,119.947,CRTSnorth,10,10,0.13600778579711914,124.07119792138346
ZTF17aaarsmp,Ceph,4.9107789,ASASSN,10,10,0.11500668525695801,0.14187385988722603
ZTF18acrwlft,Ceph,1.0452794,CRTSnorth,10,10,0.12000703811645508,1.0452045143833508
ZTF18abecqku,Ceph,48.6607552,ASASSN,10,10,0.12900733947753906,32.47742236898714
ZTF18abvktfe,Ceph,44.6450667,ASASSN,10,10,0.12200713157653809,0.2287956885738696
ZTF18abbkgxn,Ceph,2.3975,CRTSnorth,10,10,0.12500715255737305,0.4133021324731978
ZTF18abcocjn,Ceph,0.9359073,ASASSN,10,10,0.12200689315795898,0.9358983392301405
ZTF17aaaqjzz,Ceph,1.66805,ASASSN,10,10,0.10500597953796387,2.4963814616442455
ZTF17aabwgen,Ceph,2.5602192,ASASSN,10,10,0.09100532531738281,0.716608048872116
ZTF18aavzjqs,Ceph,9.83349,ASASSN,10,10,0.08600497245788574,9.824882967702065
ZTF17aabuwgb,Ceph,6.0138565,ASASSN,10,10,0.08500480651855469,6.021740891995799
ZTF17aabxitd,Ceph,1.0819712,CRTSnorth,10,10,0.08800530433654785,0.21033331390564233
ZTF17aaasltt,Ceph,2.94414,ASASSN,10,10,0.09100532531738281,0.3909820595780573
ZTF17aaaoxiq,Ceph,1.9194449,ASASSN,10,10,0.09100508689880371,2.051191389348188
ZTF18aayuwee,Ceph,3.26948,ASASSN,10,10,0.08500480651855469,3.268641168288245
ZTF18aaxdohg,Ceph,15.2283166,ASASSN,10,10,0.09100508689880371,5.076532251291176
ZTF18aajesni,Ceph,44.7798,CRTSnorth,10,10,0.08500480651855469,22.371142743608186
ZTF18acuencd,Ceph,13.85,CRTSnorth,10,10,0.0870048999786377,0.9314449090661683
ZTF18acrmlma,Ceph,188.55902,CRTSnorth,10,10,0.08600473403930664,0.17198789201831804
ZTF17aacemqz,Ceph,16.2488,CRTSnorth,10,10,0.08600521087646484,16.271172985694523
ZTF18aazfehx,Ceph,4.27789,ASASSN,10,10,0.08300471305847168,4.279243130508353
ZTF17aaathzk,Ceph,1.9995431,ASASSN,10,10,0.08000421524047852,0.6653396030186988
ZTF17aabxqbf,Ceph,2.07762,CRTSnorth,10,10,0.08800530433654785,0.6738212516326859
ZTF18aavyrll,Ceph,14.57726,ASASSN,10,10,0.08300471305847168,14.581711481537356
ZTF18aajrczk,Ceph,2.6649887,CRTSnorth,10,10,0.08600497245788574,1.5932954394111651
ZTF17aaajtcq,Ceph,5.6042965,ASASSN,10,10,0.08500504493713379,5.6044949013103995
ZTF19aaepkcx,Ceph,32.9146014,ASASSN,10,10,0.0870051383972168,32.8357630990753
ZTF18aaayyfx,Ceph,44.7798,CRTSnorth,10,10,0.08500480651855469,22.378141109088325
ZTF17aacxfhf,Ceph,6.4408,CRTSnorth,10,10,0.0870048999786377,0.7938210350841052
ZTF18abxeian,Ceph,1.22977,CRTSnorth,10,10,0.08500480651855469,0.05789374107353245
ZTF17aaaielp,Ceph,2.01922,ASASSN,10,10,0.0870048999786377,2.019626268688155
ZTF18abnbnnl,Ceph,2.45851,ASASSN,10,10,0.08400487899780273,2.457965334755741
ZTF17aaaslue,Ceph,3.0821796,ASASSN,10,10,0.0870048999786377,3.082384134849523
ZTF17aaarkmi,Ceph,2.1307414,ASASSN,10,10,0.08500504493713379,2.130696199780011
ZTF17aaafihc,Ceph,2.6756359,ASASSN,10,10,0.0870048999786377,2.3784300088615575
ZTF17aaauijj,Ceph,64.560658,CRTSnorth,10,10,0.08600497245788574,32.159852439899645
ZTF17aabveaf,Ceph,5.6880091,ASASSN,10,10,0.0870051383972168,5.6917919126606655
ZTF17aaarsgn,Ceph,4.4102151,ASASSN,10,10,0.08500504493713379,0.4130329116038036
ZTF17aaarsgq,Ceph,4.98922,ASASSN,10,10,0.0870048999786377,4.9881295415529205
ZTF17aaauijn,Ceph,11.2189633,ASASSN,10,10,0.08500504493713379,11.253303487370001
ZTF18abbpxhz,Ceph,0.832478,LINEAR,10,10,0.08400487899780273,1.247788006451418
ZTF18abumeru,Ceph,32.9146014,ASASSN,10,10,0.08100485801696777,32.84261003683467
ZTF17aaaruzn,Ceph,4.691084,ASASSN,10,10,0.08200478553771973,4.69360337699176
ZTF18aapyqmc,Ceph,2.9293336,CRTSnorth,10,10,0.08200478553771973,0.3070604215595815
ZTF17aaagvnm,Ceph,1.5318547,ASASSN,10,10,0.0890049934387207,3.0264979890582127
ZTF18abeeqhi,Ceph,4.6639079,ASASSN,10,10,0.08600497245788574,4.663848052969469
ZTF18abmxaez,Ceph,4.9025182,CRTSnorth,10,10,0.08600473403930664,0.4610919223784213
ZTF17aaawhro,Ceph,3.3707962,ASASSN,10,10,0.08500480651855469,3.3709091668207374
ZTF17aaawgxd,Ceph,3.43808,ASASSN,10,10,0.08800506591796875,3.4376322927396235
ZTF17aaajqkd,Ceph,0.9441747,CRTSnorth,10,10,0.08000469207763672,0.9441797981632339
ZTF18aaqgbes,Ceph,1.1260715,CRTSnorth,10,10,0.08500480651855469,1.1261546978136057
ZTF17aabvsvg,Ceph,3.7992568,ASASSN,10,10,0.08400487899780273,6.886631573080747
ZTF17aaajtgd,Ceph,3.8784172,ASASSN,10,10,0.0870048999786377,3.869965930777293
ZTF18aaaatsz,Ceph,10.2611,CRTSnorth,10,10,0.08500504493713379,10.262515131277654
