oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aaabbyh,DSCT,0.0915922,ASASSN,40,40,0.44902586936950684,0.7854034996680591
ZTF18abnjsfs,DSCT,0.0806261,ASASSN,40,40,0.47802734375,0.09615168410459361
ZTF18acrupio,DSCT,0.111154,ASASSN,40,40,0.4430255889892578,0.166913556348132
ZTF18abokdrv,DSCT,0.1719814,ASASSN,40,40,0.4520258903503418,0.20782655319673868
ZTF18aagrkrh,DSCT,0.0887916,CRTSnorth,40,40,0.4350249767303467,0.08879000901565275
ZTF18aaiwqwc,DSCT,0.059257,LINEAR,40,40,0.43602490425109863,0.059255500813297834
ZTF18aaaakyv,DSCT,0.064343,ASASSN,40,40,0.44202518463134766,0.06878235176836263
ZTF17aaaoujw,DSCT,0.1040589,ASASSN,40,40,0.44002509117126465,0.10405861825791905
ZTF18aaadnum,DSCT,0.0558111,ASASSN,40,40,0.5160293579101562,0.055810538369940633
ZTF18aabkonv,DSCT,0.04893,LINEAR,40,40,0.46802687644958496,0.15868340955431115
ZTF18aabjzye,DSCT,0.060337,CRTSnorth,40,40,0.4850280284881592,0.0568944689852942
ZTF17aadopqk,DSCT,0.1020738,ASASSN,40,40,0.46402645111083984,0.12830469956639548
ZTF17aabtvzr,DSCT,0.049606,LINEAR,40,40,0.46202611923217773,5.497003286053958
ZTF18acqowix,DSCT,0.0882718,CRTSnorth,40,40,0.5250298976898193,0.09684586802165851
ZTF18abakkui,DSCT,0.1932598,ASASSN,40,40,0.718040943145752,0.19325492931699323
ZTF18abxfdtj,DSCT,0.094894,CRTSnorth,40,40,0.717041015625,0.1806583385955379
ZTF17aaadnyp,DSCT,0.0482415,ASASSN,40,40,0.8080461025238037,0.05642191444536252
ZTF18aaabrix,DSCT,0.080365,ASASSN,40,40,0.5970339775085449,0.087409972497092
ZTF17aaasjfh,DSCT,0.1040589,ASASSN,40,40,0.5670325756072998,0.10405861825791905
ZTF18absoifw,DSCT,0.0946834,CRTSnorth,40,40,0.5210299491882324,0.10461610805559403
ZTF18aboqubz,DSCT,0.099396,ASASSN,40,40,0.5290300846099854,0.43968384146049216
ZTF18abikbaq,DSCT,0.0719725,CRTSnorth,40,40,0.5250301361083984,0.1435701442343716
ZTF18aaadiae,DSCT,0.0539641,ASASSN,40,40,0.5320305824279785,0.05396379874617865
ZTF17aabwtib,DSCT,0.056895,LINEAR,40,40,0.598034143447876,0.05084900820758366
ZTF18aboquby,DSCT,0.099396,ASASSN,40,40,0.6340360641479492,0.5280602867825883
ZTF18abcwaqs,DSCT,0.0737739,ASASSN,40,40,0.6860392093658447,0.28877180597641317
