oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aasnisf,Ceph,4.8733144,ASASSN,30,30,0.47302699089050293,4.872860827718328
ZTF17aabwqhv,Ceph,4.39124,CRTSnorth,30,30,0.40102291107177734,4.39339086173738
ZTF18abayiew,Ceph,3.3024,ASASSN,30,30,0.3830220699310303,3.3031557867276784
ZTF18achypyv,Ceph,33.8249,CRTSnorth,30,30,0.3500199317932129,16.909339726369378
ZTF17aabpjhw,Ceph,0.8200492,ASASSN,30,30,0.3450198173522949,0.8200458552622234
ZTF17aabutnm,Ceph,8.1926797,ASASSN,30,30,0.3460197448730469,8.1974465508358
ZTF18acvdnhl,Ceph,1.3613017,ASASSN,30,30,0.33401918411254883,1.361247538988983
ZTF18aaveqhe,Ceph,63.0362388,ASASSN,30,30,0.3130178451538086,31.3242891216539
ZTF18abdqbbq,Ceph,1.08175,CRTSnorth,30,30,0.31601786613464355,0.23876285000219272
ZTF19aadaesf,Ceph,38.453804,CRTSnorth,30,30,0.2890162467956543,38.286210395803735
ZTF18aagrijw,Ceph,1.242407,LINEAR,30,30,0.29201674461364746,0.553252019632429
ZTF18acduxsw,Ceph,3.13871,ASASSN,30,30,0.2820160388946533,3.138565956595879
ZTF18acpvmjm,Ceph,1.4580462,ASASSN,30,30,0.2720153331756592,3.1543118528107965
ZTF19acelhxy,Ceph,3.7992568,ASASSN,30,30,0.3190181255340576,0.7900024195354066
ZTF17aaadyzd,Ceph,4.5607572,ASASSN,30,30,0.5070290565490723,4.561776652865649
ZTF17aabumnd,Ceph,1.4952694,CRTSnorth,30,30,0.45102572441101074,1.4955889421286228
ZTF17aaattgz,Ceph,4.4102151,ASASSN,30,30,0.46002626419067383,4.411865476749415
ZTF18aaxmrja,Ceph,2.44832,CRTSnorth,30,30,0.41402363777160645,2.44811901951944
ZTF18acvvybk,Ceph,2.07244,CRTSnorth,30,30,0.4110236167907715,2.072310403043171
ZTF17aaarsuk,Ceph,4.5607572,ASASSN,30,30,0.3690211772918701,0.8183590541016759
ZTF18abgpbkr,Ceph,3.7555038,ASASSN,30,30,0.35502028465270996,3.7548076004907305
ZTF18abadigg,Ceph,1.76708,CRTSnorth,30,30,0.33801937103271484,1.7670407766849592
ZTF17aabuwok,Ceph,3.52189,ASASSN,30,30,0.3450198173522949,3.5216111445392104
ZTF18aaxddfx,Ceph,10.62586,ASASSN,30,30,0.3450195789337158,10.630881529220227
ZTF17aadpxct,Ceph,1.2226,ASASSN,30,30,0.3450198173522949,1.2225169586257367
ZTF17aaanoqn,Ceph,5.1462459,ASASSN,30,30,0.33801937103271484,5.148757007214625
ZTF18acvwfwb,Ceph,78.4132466,ASASSN,30,30,0.3460197448730469,0.984721154685452
ZTF18abnbiwm,Ceph,10.2204,CRTSnorth,30,30,0.34701967239379883,10.220871934557694
ZTF18abbltzs,Ceph,3.9999759,ASASSN,30,30,0.3460197448730469,4.000838714217314
ZTF18abvpirg,Ceph,119.947,CRTSnorth,30,30,0.34001946449279785,121.64084485373291
ZTF17aaarsmp,Ceph,4.9107789,ASASSN,30,30,0.3480198383331299,4.910344760969882
ZTF18acrwlft,Ceph,1.0452794,CRTSnorth,30,30,0.3460197448730469,1.0452589897299187
ZTF18abecqku,Ceph,48.6607552,ASASSN,30,30,0.3390192985534668,32.449499096425164
ZTF18abvktfe,Ceph,44.6450667,ASASSN,30,30,0.343019962310791,0.7309067275053146
ZTF18abbkgxn,Ceph,2.3975,CRTSnorth,30,30,0.34401965141296387,2.3976005039444983
ZTF18abcocjn,Ceph,0.9359073,ASASSN,30,30,0.3220183849334717,0.9358983392301405
ZTF17aaaqjzz,Ceph,1.66805,ASASSN,30,30,0.3150181770324707,1.6682181043435995
ZTF17aabwgen,Ceph,2.5602192,ASASSN,30,30,0.3130178451538086,2.5465242360125404
ZTF18aavzjqs,Ceph,9.83349,ASASSN,30,30,0.32501864433288574,9.828212569741467
ZTF17aabuwgb,Ceph,6.0138565,ASASSN,30,30,0.3020172119140625,6.016093179300502
