oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF17aaaehye,1633366535515010011,59387.36653940007,1,17.09331,0.065382615,16.948656,0.057227023
ZTF17aaaehye,1630395135515010018,59384.395138899796,1,17.227192,0.06586351,16.843657,0.046262648
ZTF17aaaehye,1625433785515010019,59379.4337847,1,17.436623,0.085312836,16.717491,0.04399082
ZTF17aaaehye,1620408815515010014,59374.408819399774,1,17.8859,0.122347,16.542643,0.03550507
ZTF17aaaehye,1622406385515010022,59376.40638889978,1,17.714224,0.0898269,16.598007,0.032130644
ZTF17aaaehye,1608411385515015014,59362.41138890013,1,18.6112,0.205086,16.147497,0.02120582
ZTF17aaaehye,1613409225515015011,59367.40922449995,2,14.306536,0.051270686,13.534522,0.025180453
ZTF17aaaehye,1605449055515015009,59359.44905090006,1,17.957031,0.13282023,16.058443,0.023111539
ZTF17aaaehye,1605430465515015005,59359.4304630002,2,13.892197,0.045780834,13.311344,0.026812835
ZTF17aaaehye,1602452115515015011,59356.45211810013,1,17.46065,0.08353637,15.954115,0.02085748
ZTF17aaaehye,1602384055515015010,59356.38405090012,2,13.714478,0.03053752,13.203765,0.0190787
ZTF17aaaehye,1599464185515015007,59353.46418979997,2,13.638231,0.030313523,13.155505,0.019433279
ZTF17aaaehye,1595471335515015012,59349.47133099986,2,13.4498,0.031019,13.031009,0.021091694
ZTF17aaaehye,1595431045515015009,59349.431041699834,1,16.6222,0.055236,15.676983,0.02312786
ZTF17aaaehye,1599413775515015009,59353.41377309989,1,17.029675,0.062964745,15.829459,0.02084546
ZTF17aaaehye,1582471305515035003,59336.4713078998,2,12.9572,0.027951,12.673172,0.021517219
ZTF17aaaehye,1582456405515035008,59336.456400500145,1,15.5958,0.033514,15.127414,0.021770664
ZTF17aaaehye,1592461415515015024,59346.461412000004,1,16.349848,0.038220424,15.55454,0.018372675
ZTF17aaaehye,1582471305515015003,59336.4713078998,2,12.957169,0.027950654,12.673148,0.021517096
ZTF17aaaehye,1582456405515015008,59336.456400500145,1,15.595751,0.033514246,15.127381,0.021771172
ZTF17aaaehye,1571484525515015010,59325.484525499865,2,12.509743,0.020961255,12.313587,0.01749666
ZTF17aaaehye,1571445495515015006,59325.44549770001,1,14.937911,0.022873402,14.657839,0.017672652
ZTF17aaaehye,1568490685515015014,59322.49068289995,2,12.436472,0.023949612,12.252091,0.020209065
ZTF17aaaehye,1568454235515015013,59322.45423609996,1,14.780083,0.034110907,14.533934,0.027191538
ZTF18aaztjot,994246405515010003,58748.24640050018,1,18.5454,0.141433,16.79675,0.028254684
ZTF18aaztjot,1410239815515010000,59164.23981480021,1,17.40633,0.060866736,17.299452,0.05516052
ZTF18aaztjot,993235485515010005,58747.23548609996,1,18.5608,0.081874,16.7937,0.01608072
ZTF18aaztjot,989344065515010003,58743.34406250017,2,15.8502,0.04333,14.356594,0.010948295
ZTF18aaztjot,912430035515010002,58666.43003469985,2,15.169688,0.023197003,14.626662,0.014067652
ZTF18aaztjot,579321895515010006,58333.321898099966,2,15.139528,0.049936444,14.64537,0.031677734
ZTF18aaztjot,538469495515010011,58292.469490699936,2,15.6386,0.049726,14.417291,0.0161458
ZTF18aaztjot,1292406485515015012,59046.406481499784,2,15.3401,0.04654,13.808371,0.011353626
ZTF18aaztjot,1102109625515010003,58856.10962959984,1,17.580236,0.076603584,17.162794,0.052152183
ZTF18aaztjot,1044115235515015003,58798.11523150001,1,17.729237,0.083543666,16.270672,0.021801544
ZTF18aaztjot,671149945515010005,58425.14994210005,1,17.481277,0.060520362,17.235727,0.0482705
