oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeajl,EB/EW,0.270497,CRTSnorth,20,20,0.23301362991333008,0.2175256072063584
ZTF17aacdvtd,EB/EW,0.29551,CRTSnorth,20,20,0.22301244735717773,0.14775370202330135
ZTF18abcilbv,EB/EW,0.290765,CRTSnorth,20,20,0.20601177215576172,0.08240976362948926
ZTF17aabtlbu,EB/EW,0.35874,CRTSnorth,20,20,0.2110121250152588,0.2799160686357576
ZTF19aamnvdx,EB/EW,0.356434,CRTSnorth,20,20,0.21801233291625977,0.2169989657083118
ZTF17aaahiqe,EB/EW,0.246995,CRTSnorth,20,20,0.21201181411743164,0.09901025103547625
ZTF17aaajrrz,EB/EW,0.472698,CRTSnorth,20,20,0.20601177215576172,0.4487609382071171
ZTF18aagrlge,EB/EW,0.350049,CRTSnorth,20,20,0.20801210403442383,0.17502686430751568
ZTF17aacxrxj,EB/EW,0.290429,CRTSnorth,20,20,0.2150120735168457,0.1452147782026774
ZTF19aaesgaz,EB/EW,0.284732,CRTSnorth,20,20,0.21801280975341797,0.14236652861192775
ZTF18aajuyqt,EB/EW,0.257875,CRTSnorth,20,20,0.20901203155517578,0.3588799533548637
ZTF17aadgqqw,EB/EW,0.353393,CRTSnorth,20,20,0.20601201057434082,0.1766953035390166
ZTF17aaaxfed,EB/EW,0.339672,CRTSnorth,20,20,0.19701123237609863,0.20456971341357788
ZTF17aaagwgf,EB/EW,0.359827,CRTSnorth,20,20,0.19501137733459473,0.15242424225160917
ZTF18abodrtv,EB/EW,0.344404,CRTSnorth,20,20,0.20701169967651367,0.17220319700040174
ZTF18acbvqwx,EB/EW,0.51168,CRTSnorth,20,20,0.18201041221618652,0.3441406031424289
ZTF18aaaeahe,EB/EW,0.293562,CRTSnorth,20,20,0.18501067161560059,0.1279540451998272
ZTF18adakwwa,EB/EW,0.680986,CRTSnorth,20,20,0.18001031875610352,0.34049143050708663
ZTF18adbaghq,EB/EW,0.3552753,CRTSnorth,20,20,0.1780102252960205,0.17763268959647785
ZTF18aaadsey,EB/EW,0.232682,CRTSnorth,20,20,0.26001477241516113,0.13165511391438203
ZTF18acckyvq,EB/EW,0.397136,CRTSnorth,20,20,0.35502028465270996,0.1985703120269116
ZTF18aaacdou,EB/EW,0.23151,CRTSnorth,20,20,0.3630208969116211,0.11575240358762819
ZTF18abcstxs,EB/EW,0.266132,CRTSnorth,20,20,0.365020751953125,37.37808097803247
ZTF18abcupjf,EB/EW,0.416778,CRTSnorth,20,20,0.36602091789245605,0.17236485389011832
ZTF17aaaduyn,EB/EW,0.372858,CRTSnorth,20,20,0.3820219039916992,1.5722971209624426
ZTF18aaadsjh,EB/EW,0.63636,ASASSN,20,20,0.4090232849121094,0.31818995050853277
ZTF17aaapnrf,EB/EW,0.358335,CRTSnorth,20,20,0.3690211772918701,0.21828669901998085
ZTF18aajdkhu,EB/EW,0.309511,CRTSnorth,20,20,0.32701873779296875,0.30950310473243553
ZTF18aaavust,EB/EW,0.613267,CRTSnorth,20,20,0.31001782417297363,0.4427773885271125
ZTF17aaatmpt,EB/EW,0.2839813,ASASSN,20,20,0.28801655769348145,0.14198854563411567
ZTF18acrygcx,EB/EW,0.287204,CRTSnorth,20,20,0.29701709747314453,0.1115291200818402
ZTF17aaaxdid,EB/EW,0.245057,CRTSnorth,20,20,0.26601529121398926,0.3249282314152144
ZTF19acauaig,EB/EW,0.395502,CRTSnorth,20,20,0.27301573753356934,0.14166323840454342
