oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeajl,EB/EW,0.270497,CRTSnorth,40,40,0.5850334167480469,14.988632810287568
ZTF17aacdvtd,EB/EW,0.29551,CRTSnorth,40,40,0.5280301570892334,0.14775370202330135
ZTF18abcilbv,EB/EW,0.290765,CRTSnorth,40,40,0.6530373096466064,0.20509826262014744
ZTF17aabtlbu,EB/EW,0.35874,CRTSnorth,40,40,0.6250357627868652,0.2799160686357576
ZTF19aamnvdx,EB/EW,0.356434,CRTSnorth,40,40,0.5590317249298096,0.21701027849450708
ZTF17aaahiqe,EB/EW,0.246995,CRTSnorth,40,40,0.6380364894866943,0.14095241121449134
ZTF17aaajrrz,EB/EW,0.472698,CRTSnorth,40,40,0.5760328769683838,0.44878433585749483
ZTF18aagrlge,EB/EW,0.350049,CRTSnorth,40,40,0.5630319118499756,0.17502686430751568
ZTF17aacxrxj,EB/EW,0.290429,CRTSnorth,40,40,0.6500370502471924,0.1452147782026774
ZTF19aaesgaz,EB/EW,0.284732,CRTSnorth,40,40,0.6500372886657715,0.14236652861192775
ZTF18aajuyqt,EB/EW,0.257875,CRTSnorth,40,40,0.598034143447876,0.20489522406328875
ZTF17aadgqqw,EB/EW,0.353393,CRTSnorth,40,40,0.6480371952056885,0.1766953035390166
ZTF17aaaxfed,EB/EW,0.339672,CRTSnorth,40,40,0.6510374546051025,0.1698318599081585
ZTF17aaagwgf,EB/EW,0.359827,CRTSnorth,40,40,0.6490368843078613,0.15241629386139385
ZTF18abodrtv,EB/EW,0.344404,CRTSnorth,40,40,0.6270360946655273,0.17220319700040174
ZTF18acbvqwx,EB/EW,0.51168,CRTSnorth,40,40,0.6530373096466064,0.5246716015425754
ZTF18aaaeahe,EB/EW,0.293562,CRTSnorth,40,40,0.596034049987793,0.17211793897423638
ZTF18adakwwa,EB/EW,0.680986,CRTSnorth,40,40,0.5890336036682129,0.34049143050708663
ZTF18adbaghq,EB/EW,0.3552753,CRTSnorth,40,40,0.5500314235687256,0.17764194913893555
ZTF18aaadsey,EB/EW,0.232682,CRTSnorth,40,40,0.5010285377502441,0.11634222650896663
ZTF18acckyvq,EB/EW,0.397136,CRTSnorth,40,40,0.46602678298950195,0.1985703120269116
ZTF18aaacdou,EB/EW,0.23151,CRTSnorth,40,40,0.469027042388916,0.1157584380965444
ZTF18abcstxs,EB/EW,0.266132,CRTSnorth,40,40,0.43102455139160156,0.15348868119402995
ZTF18abcupjf,EB/EW,0.416778,CRTSnorth,40,40,0.40702295303344727,0.35764739118185096
ZTF17aaaduyn,EB/EW,0.372858,CRTSnorth,40,40,0.38802218437194824,0.22914185686971217
ZTF18aaadsjh,EB/EW,0.63636,ASASSN,40,40,0.3650209903717041,0.31818995050853277
ZTF17aaapnrf,EB/EW,0.358335,CRTSnorth,40,40,0.36202049255371094,0.21828098288710407
ZTF18aajdkhu,EB/EW,0.309511,CRTSnorth,40,40,0.33801960945129395,0.30950310473243553
ZTF18aaavust,EB/EW,0.613267,CRTSnorth,40,40,0.3330190181732178,0.4428004730015564
ZTF17aaatmpt,EB/EW,0.2839813,ASASSN,40,40,0.3170180320739746,0.24767499149319377
ZTF18acrygcx,EB/EW,0.287204,CRTSnorth,40,40,0.3170180320739746,0.2015739592869372
ZTF17aaaxdid,EB/EW,0.245057,CRTSnorth,40,40,0.4040231704711914,0.2450614921954612
ZTF19acauaig,EB/EW,0.395502,CRTSnorth,40,40,0.610034704208374,0.16503177585625922
ZTF18aabisxg,EB/EW,0.43629,CRTSnorth,40,40,0.5460309982299805,0.2181501684572546
ZTF18abumyvd,EB/EW,0.264226,CRTSnorth,40,40,0.5100288391113281,0.1321122971976466
ZTF18aagwxlb,EB/EW,0.297014,CRTSnorth,40,40,0.4870278835296631,0.1292613416130858
ZTF18abbxkof,EB/EW,0.5455989,ASASSN,40,40,0.46402621269226074,0.2727997911965872
ZTF18aaimtnm,EB/EW,0.28334,CRTSnorth,40,40,0.4320244789123535,0.14167062333551958
ZTF18aaavsbv,EB/EW,0.341473,CRTSnorth,40,40,0.4090232849121094,0.20600368926985715
ZTF18aabfwhb,EB/EW,0.37964,ASASSN,40,40,0.6430370807647705,0.18982030837492891
ZTF17aaaekpc,EB/EW,0.259252,CRTSnorth,40,40,0.6280362606048584,0.1489912234356184
ZTF17aabxkcv,EB/EW,0.268038,CRTSnorth,40,40,0.5580317974090576,0.1340198071613402
ZTF19abqkmem,EB/EW,0.3860825,ASASSN,40,40,0.5080292224884033,0.19303342655106318
ZTF17aaadxlq,EB/EW,0.762123,CRTSnorth,40,40,0.480027437210083,0.38106202666695155
ZTF18aawalmh,EB/EW,0.6720269,ASASSN,40,40,0.4650266170501709,0.33601283169175844
ZTF18abdeisb,EB/EW,0.400962,CRTSnorth,40,40,0.44002532958984375,0.07715473532966734
ZTF17aabggji,EB/EW,0.34633,ASASSN,40,40,0.43802523612976074,0.14754204250459263
ZTF18abceilm,EB/EW,0.316516,CRTSnorth,40,40,0.47302722930908203,0.18811125411546142
ZTF18aaadskw,EB/EW,0.305082,CRTSnorth,40,40,0.6070346832275391,0.13229835751004398
ZTF17aacwwlr,EB/EW,0.426053,CRTSnorth,40,40,0.5460312366485596,0.21302572319188787
ZTF18aaavyjj,EB/EW,0.25172,CRTSnorth,40,40,0.5100293159484863,0.1117560894171277
ZTF17aaafibe,EB/EW,0.3669635,ASASSN,40,40,0.5050289630889893,0.22487590304100158
ZTF18acpvmit,EB/EW,1.2628808,ASASSN,40,40,0.6380364894866943,0.6314294924248907
ZTF18acrukkj,EB/EW,0.428888,ASASSN,40,40,0.5940337181091309,0.21444629737891371
ZTF18aaorzrx,EB/EW,0.373506,CRTSsouth,40,40,0.5660324096679688,0.18675313605607302
ZTF18aagrmww,EB/EW,0.2918,CRTSnorth,40,40,0.5680325031280518,0.1709109291397194
ZTF18aabtvpy,EB/EW,0.410646,CRTSnorth,40,40,0.5140292644500732,0.41063922391066593
ZTF18acnaivd,EB/EW,0.566458,CRTSnorth,40,40,0.5100293159484863,0.283233293467758
ZTF18abadnca,EB/EW,0.9554343,ASASSN,40,40,0.5120294094085693,0.9071026447664444
ZTF18abmohes,EB/EW,0.339066,ASASSN,40,40,0.5090291500091553,0.1695399667637034
ZTF18acueidj,EB/EW,0.40218,CRTSnorth,40,40,0.5580320358276367,0.3366790977154742
ZTF18aajaeui,EB/EW,0.2771871,ASASSN,40,40,0.6300358772277832,0.13859897781985606
ZTF18abcruof,EB/EW,0.306961,ASASSN,40,40,0.5770330429077148,0.1462326927436075
ZTF18aaaeheg,EB/EW,0.335633,ASASSN,40,40,0.6370363235473633,0.1678165440608146
ZTF18aajbhlq,EB/EW,0.476077,CRTSnorth,40,40,0.6370365619659424,0.23804828098540187
ZTF18acrcuvj,EB/EW,0.37643,CRTSnorth,40,40,0.5640320777893066,0.12381369379351774
ZTF17aaanqdk,EB/EW,0.3183939,ASASSN,40,40,0.5090293884277344,0.15919295703960332
ZTF18abmjpbp,EB/EW,0.314732,CRTSnorth,40,40,0.48602771759033203,0.1868553838746925
ZTF17aaabmpl,EB/EW,0.38524,CRTSnorth,40,40,0.5100293159484863,0.23872551558555705
ZTF18aaaarlb,EB/EW,0.340916,CRTSnorth,40,40,0.6430366039276123,0.14557860505538264
ZTF18acuwuzy,EB/EW,0.33386,ASASSN,40,40,0.6410367488861084,0.14299502056879754
ZTF18abtdxvi,EB/EW,0.296442,CRTSnorth,40,40,0.618035078048706,0.267295799103488
ZTF18aaakpmo,EB/EW,0.263112,CRTSnorth,40,40,0.5660324096679688,0.11622099624082619
ZTF18abtfecu,EB/EW,0.24355,CRTSnorth,40,40,0.5880334377288818,0.16105434542769018
ZTF18abppqvr,EB/EW,0.274892,CRTSnorth,40,40,0.6360366344451904,0.13744777442127834
ZTF18acrwlzp,EB/EW,0.422706,CRTSnorth,40,40,0.606034517288208,0.21135548218509584
ZTF18aaaemjr,EB/EW,0.530351,CRTSnorth,40,40,0.5490314960479736,0.26517928327269275
ZTF18acevxjm,EB/EW,0.288476,CRTSnorth,40,40,0.6430366039276123,0.11190765003980659
ZTF18aaacxfc,EB/EW,0.251771,LINEAR,40,40,0.5870335102081299,0.14406870344691022
ZTF19acaxkgh,EB/EW,0.331454,CRTSnorth,40,40,0.6170353889465332,0.16573440392324065
ZTF17aabwiij,EB/EW,0.275372,CRTSnorth,40,40,0.5650324821472168,0.12098405551971593
ZTF17aabwniz,EB/EW,0.247072,CRTSnorth,40,40,0.5310301780700684,0.09903347552360194
ZTF17aaczhem,EB/EW,0.9086543,ASASSN,40,40,0.5110292434692383,0.45428034942425044
ZTF17aabvaju,EB/EW,0.350138,CRTSnorth,40,40,0.5140297412872314,0.14891745768766862
ZTF18aaxyunj,EB/EW,0.5667796,ASASSN,40,40,0.482027530670166,0.2834031382771247
ZTF18absgqvs,EB/EW,0.23413,CRTSnorth,40,40,0.463026762008667,0.11706617261790207
ZTF18acvgznt,EB/EW,0.280098,CRTSnorth,40,40,0.44402527809143066,0.14004788692553752
ZTF18adbjcze,EB/EW,0.37192,CRTSnorth,40,40,0.4260244369506836,0.18596140146842172
ZTF18abnzsoi,EB/EW,0.345872,CRTSnorth,40,40,0.4220242500305176,0.2090870755671427
ZTF18accvedz,EB/EW,0.355476,ASASSN,40,40,0.3930225372314453,0.17773920855946446
ZTF18aaaegrh,EB/EW,0.868741,CRTSnorth,40,40,0.3910222053527832,0.43437569382781516
ZTF19aackslb,EB/EW,0.3537,CRTSnorth,40,40,0.3690211772918701,0.1768519580979651
ZTF18abuckoc,EB/EW,0.2850954,ASASSN,40,40,0.3650209903717041,0.16630993036260708
ZTF18aabjrrv,EB/EW,0.253374,LINEAR,40,40,0.36402082443237305,0.12668638044711103
ZTF17aaatrrb,EB/EW,0.434402,CRTSnorth,40,40,0.3890223503112793,0.2172026755123335
ZTF18aakygjd,EB/EW,0.300534,LINEAR,40,40,0.6240355968475342,0.1502704173541437
ZTF17aaasqio,EB/EW,0.31744,ASASSN,40,40,0.6070349216461182,0.13692930070160422
ZTF18aaadlnt,EB/EW,0.339236,CRTSnorth,40,40,0.616034984588623,0.20427136475549715
ZTF18abaxitk,EB/EW,0.58709,ASASSN,40,40,0.6400365829467773,0.2935604063897626
ZTF18aainbud,EB/EW,0.4221295,CRTSnorth,40,40,0.6420366764068604,2.203037944863026
