oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdljjw,LPV,228.16,GAIADR2VS,30,30,0.17300963401794434,0.14000821113586426,224.42337534577436,226.45644171824983,30,30,0.10800623893737793,0.1020059585571289,224.87425163737984,233.3348582593594,30,30,0.08200478553771973,0.0870048999786377,112.76472309234975,223.77504322858584,30,30,0.11400651931762695,0.09800577163696289,224.45265018735807,226.4682469346915,30,30,0.32001829147338867,0.29401659965515137,112.57383112363476,113.14744668831206,30,30,0.32701873779296875,0.2950167655944824,112.90882407685066,0.24876837801707158,30,30,0.3170180320739746,0.2950170040130615,112.48584956715106,112.985360871555
ZTF18aazfbth,LPV,109.89555,ASASSN,30,30,0.13200759887695312,0.12200689315795898,109.40919039288394,107.88848941494149,30,30,0.10100603103637695,0.09600520133972168,110.33417333711782,106.97564816766533,30,30,0.07900428771972656,0.07700443267822266,431.3150985256519,107.41710739382388,30,30,0.10100579261779785,0.10100579261779785,109.40919039288394,107.88848941494149,30,30,0.28801655769348145,0.3350193500518799,0.9909261725486338,53.668835539669644,30,30,0.29701709747314453,0.2950170040130615,0.9909261725486338,0.9703513315039289,30,30,0.30301761627197266,0.3000171184539795,0.9909261725486338,53.81311004724341
ZTF18aawlmoe,LPV,358.3485452,GAIADR2VS,30,30,0.1240072250366211,0.1240072250366211,374.4527197417501,377.70705366372687,30,30,0.09900569915771484,0.08800506591796875,358.40060105398186,399.65457684957164,30,30,0.08000469207763672,0.0760045051574707,743.0022051746467,436.69966538421266,30,30,0.09900569915771484,0.09500527381896973,374.5405588961604,377.70705366372687,30,30,0.3020174503326416,0.30101704597473145,0.9946264690128669,1.002669440799979,30,30,0.2930169105529785,0.29701685905456543,0.9946783298898273,0.9947560992743926,30,30,0.30301713943481445,0.3000171184539795,0.9946783298898273,0.9948079479862849
ZTF18aavekqv,LPV,313.872525,GAIADR2VS,30,30,0.12100696563720703,0.13500761985778809,312.0198288565713,304.293530468824,30,30,0.09900569915771484,0.09300541877746582,304.21425740221713,302.8613869847951,30,30,0.07800459861755371,0.0760042667388916,306.9301173042952,302.5615670928272,30,30,0.1000056266784668,0.09700560569763184,311.9872992488792,304.3093900401351,30,30,0.29401659965515137,0.28801679611206055,303.9685202880012,0.9938231304284457,30,30,0.3060173988342285,0.3080177307128906,302.8613869847951,0.99387493321217,30,30,0.3080174922943115,0.29901719093322754,305.3104178498481,0.9938231304284457
ZTF18abdlhcx,LPV,242.7025805,ASASSN,30,30,0.12300682067871094,0.126007080078125,194.18254194977604,262.6870542708119,30,30,0.09600543975830078,0.09500551223754883,127.62669105871733,259.26559541988894,30,30,0.08000445365905762,0.0740044116973877,273.4954678707163,129.6011253987479,30,30,0.09800577163696289,0.09500551223754883,194.20784618200526,262.64598748150195,30,30,0.30101752281188965,0.29201650619506836,265.21882154731344,1.004867084743197,30,30,0.3090176582336426,0.2830162048339844,1.0009982513068167,130.4993721207184,30,30,0.3000171184539795,0.2950170040130615,263.51685090409984,130.71383678082526
ZTF18abthuog,LPV,214.2038697,ASASSN,30,30,0.11900687217712402,0.12200713157653809,217.27467578797297,216.03797869558548,30,30,0.09900569915771484,0.09100508689880371,107.335936160502,217.8815003518898,30,30,0.08000469207763672,0.07700443267822266,107.0425832188181,216.48330426936894,30,30,0.09900569915771484,0.1020059585571289,217.31431960033902,216.02671835657037,30,30,0.29901695251464844,0.2980170249938965,1.0018334853329398,215.94792883853674,30,30,0.34902000427246094,0.29901719093322754,215.94792883853674,0.9926064151089992,30,30,0.3000171184539795,0.3020172119140625,215.52058194099175,215.51493824263738
ZTF18abeciwa,LPV,309.7112222,ASASSN,30,30,0.12100672721862793,0.11900687217712402,303.0903679506081,1.0046575927942332,30,30,0.09700536727905273,0.09600543975830078,305.573171040878,930.7100723579761,30,30,0.07900428771972656,0.07700419425964355,157.62696008313702,289.64409997703854,30,30,0.09800529479980469,0.09300518035888672,303.1219633239397,1.0046575927942332,30,30,0.29701709747314453,0.29701709747314453,155.9921076615651,134.53679691442437,30,30,0.29701709747314453,0.3020174503326416,155.35912260779648,0.9834899616863669,30,30,0.29901719093322754,0.2960169315338135,155.48065299531206,134.82113085985318
ZTF18acrxooo,LPV,399.202,CRTSnorth,30,30,0.12300705909729004,0.11900663375854492,382.6815793458215,380.2059996537474,30,30,0.09800577163696289,0.09100532531738281,389.9715960256242,389.8801644050846,30,30,0.08000445365905762,0.0740041732788086,392.75635855901027,188.85659167096384,30,30,0.09900569915771484,0.09700560569763184,382.74144585673696,380.17630537296685,30,30,0.30101704597473145,0.2980170249938965,1.0025387793223264,0.9946264690128669,30,30,0.30101704597473145,0.29001641273498535,1.002591052755522,190.87067817828367,30,30,0.3000175952911377,0.29701709747314453,1.0026433316401862,0.9946783298898273
ZTF17aaagsaj,LPV,192.9850894,ASASSN,30,30,0.1260073184967041,0.12300729751586914,187.72291484005325,186.16855691995676,30,30,0.09800553321838379,0.0890049934387207,745.5241337668567,764.2146469964166,30,30,0.07900452613830566,0.0760042667388916,183.916244483624,272.1373411984535,30,30,0.09700560569763184,0.09300541877746582,187.73270189093353,186.197681033963,30,30,0.3090176582336426,0.2910165786743164,187.8991409675014,92.9621269145409,30,30,0.3000171184539795,0.30701756477355957,187.0440339153691,92.75156695321638,30,30,0.29701685905456543,0.29901719093322754,187.2098665058891,92.68391003269555
ZTF18abgygoa,LPV,216.2437963,GAIADR2VS,30,30,0.126007080078125,0.12500715255737305,1.0055745253288368,2.171285551672909,30,30,0.09700536727905273,0.09600520133972168,115.42016454587396,211.43656525948595,30,30,0.07800436019897461,0.07500433921813965,227.61036765712487,440.3801423750196,30,30,0.1000058650970459,0.09200549125671387,0.6818065653603654,2.171172379852111,30,30,0.32901883125305176,0.38602185249328613,227.4739708347121,0.7286242141463196,30,30,0.32701873779296875,0.39002227783203125,0.16097878329075105,0.13758397670656597,30,30,0.33301877975463867,0.39002251625061035,225.7904731832684,0.2564247304628579
