oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdljjw,LPV,228.16,GAIADR2VS,10,10,0.052002906799316406,0.0500030517578125,112.48584956715106,225.98473913278931,10,10,0.04200243949890137,0.036002159118652344,0.21001561134171393,4.120856375810381,10,10,0.036002397537231445,0.03300166130065918,4.955215917442099,94.77256443698073,10,10,0.04700279235839844,0.04200243949890137,112.48584956715106,225.98473913278931,10,10,0.05300283432006836,0.0630037784576416,0.7744064339423249,1.00919795916025,10,10,0.05600309371948242,0.05800342559814453,0.6889700609176479,1.8310878929940066,10,10,0.05500316619873047,0.05800342559814453,0.7743861550609411,1.8309924579416372
ZTF18aazfbth,LPV,109.89555,ASASSN,10,10,0.06400370597839355,0.062003374099731445,1.5747168646450493,109.01067023803533,10,10,0.047002553939819336,0.03500223159790039,4.078966681191567,27.111144065539253,10,10,0.04300260543823242,0.03200173377990723,2.036064174476254,92.95971531024138,10,10,0.054003238677978516,0.04200243949890137,1.5747168646450493,109.00498897234027,10,10,0.05300307273864746,0.049002885818481445,2.56858894851378,15.469683042257845,10,10,0.05300307273864746,0.049002885818481445,0.9909778270216252,21.83937201840393,10,10,0.05600333213806152,0.049002885818481445,0.9910037777978322,15.46807050359498
ZTF18aawlmoe,LPV,358.3485452,GAIADR2VS,10,10,0.05900311470031738,0.0630037784576416,179.9286239047132,363.215461761559,10,10,0.03600192070007324,0.03300166130065918,1.3168224320322857,0.062019286046190274,10,10,0.034001827239990234,0.03200173377990723,43.63935301172688,357.33725036582246,10,10,0.04400229454040527,0.04100203514099121,179.9286239047132,363.20603041405303,10,10,0.06000351905822754,0.0500028133392334,0.25099581984410824,1.0027217019713328,10,10,0.059003591537475586,0.04800271987915039,1.0028262406594957,180.214921817361,10,10,0.054003000259399414,0.049002885818481445,0.25099581984410824,1.0027217019713328
ZTF18aavekqv,LPV,313.872525,GAIADR2VS,10,10,0.05100274085998535,0.04700279235839844,327.46794490877556,0.19908335942663472,10,10,0.03200173377990723,0.034001827239990234,0.49934751794693083,5.281002931035128,10,10,0.03000164031982422,0.031001806259155273,417.2498051069624,1.4933298970317035,10,10,0.04200243949890137,0.041002511978149414,327.502085058838,0.19908335942663472,10,10,0.0500028133392334,0.0500030517578125,41.41088113100083,0.33219860981762617,10,10,0.05100274085998535,0.0500030517578125,310.4542126275561,2.483660822637375,10,10,0.0500028133392334,0.0500028133392334,41.47244982928301,0.33219860981762617
ZTF18abdlhcx,LPV,242.7025805,ASASSN,10,10,0.052002906799316406,0.046002864837646484,186.17826394558406,259.73905965122515,10,10,0.039002180099487305,0.034001827239990234,0.45226012048692105,1.2700344862869306,10,10,0.034001827239990234,0.031001806259155273,96.57292968118693,481.21279747089653,10,10,0.05300307273864746,0.04100227355957031,186.197681033963,259.7119848058777,10,10,0.059003353118896484,0.0500028133392334,0.14152299782367195,1.0037676558784705,10,10,0.05100274085998535,0.0500028133392334,0.9993558945753407,0.22144998599094917,10,10,0.05100297927856445,0.049002647399902344,0.9979763261171718,1.0037676558784705
ZTF18abthuog,LPV,214.2038697,ASASSN,10,10,0.05300307273864746,0.049002647399902344,215.57112412770863,217.41063361284915,10,10,0.034001827239990234,0.034002065658569336,1.6180710476610816,2.3750850585629077,10,10,0.03000164031982422,0.03000164031982422,1.1188405467245157,0.7246848289292999,10,10,0.04100227355957031,0.04100227355957031,215.59360668544886,217.37664504531534,10,10,0.05100297927856445,0.0500025749206543,2.1541491721037374,0.058789379669974925,10,10,0.05100297927856445,0.04900312423706055,0.227790085994466,0.058789379669974925,10,10,0.05100274085998535,0.049002647399902344,4.439319223724745,2.310182797930548
ZTF18abeciwa,LPV,309.7112222,ASASSN,10,10,0.0500030517578125,0.049002885818481445,613.5943716644882,2.9582556393777453,10,10,0.04200243949890137,0.034002065658569336,1.8520634890263918,0.05150796415135188,10,10,0.036002159118652344,0.029001712799072266,0.057096510952328185,1.3632714089653355,10,10,0.044002532958984375,0.04200243949890137,613.6583419072305,2.9582556393777453,10,10,0.05100274085998535,0.0500030517578125,205.24647862046837,0.7606233904266217,10,10,0.05100297927856445,0.04800271987915039,0.11603332667419176,0.14945017330760532,10,10,0.055002689361572266,0.049002885818481445,206.07735066816676,0.7606233904266217
ZTF18acrxooo,LPV,399.202,CRTSnorth,10,10,0.0500025749206543,0.04600262641906738,0.44895982358722863,0.5073237941134577,10,10,0.034001827239990234,0.03500175476074219,0.37321802179780567,0.2201321698878442,10,10,0.029001712799072266,0.031001806259155273,73.80244736571802,10.060440183465746,10,10,0.039002180099487305,0.04000234603881836,0.44895982358722863,0.5073237941134577,10,10,0.052002906799316406,0.0500030517578125,0.37468003437997716,15.347592071670087,10,10,0.05100297927856445,0.04600262641906738,0.13468867839467363,15.310434662786257,10,10,0.05100274085998535,0.04900312423706055,0.372838879469608,15.32720429798598
ZTF17aaagsaj,LPV,192.9850894,ASASSN,10,10,0.049002885818481445,0.04600262641906738,2.9194965326349154,1.1974143687361485,10,10,0.0370020866394043,0.034002065658569336,119.66909829289767,13.879711113720985,10,10,0.03300166130065918,0.03000164031982422,0.7957890663634403,0.6628816978279521,10,10,0.044002532958984375,0.03800201416015625,2.9194965326349154,1.1974143687361485,10,10,0.052002906799316406,0.049002885818481445,0.9199362049807197,1.8745981199901744,10,10,0.04900312423706055,0.047002553939819336,0.45839571048600497,0.13068414613155874,10,10,0.05100297927856445,0.049002885818481445,0.4584196092313747,1.874695853328675
ZTF18abgygoa,LPV,216.2437963,GAIADR2VS,10,10,0.049002647399902344,0.054003000259399414,5.9885586487859825,0.1567268596482727,10,10,0.03500199317932129,0.034001827239990234,5.985749718846745,0.06321721018646323,10,10,0.031001806259155273,0.03000187873840332,67.77635463287292,0.23640356830737735,10,10,0.039002418518066406,0.03800201416015625,5.9885586487859825,0.1567268596482727,10,10,0.052002906799316406,0.054003238677978516,68.17854203973434,1.311786571063257,10,10,0.05100297927856445,0.054003000259399414,68.06136047418477,0.5070197581319522,10,10,0.054003238677978516,0.054003238677978516,68.12880509360765,0.4858795327162092
