oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18aaabbyh,DSCT,0.0915922,ASASSN,40,40,0.4210240840911865,0.41202354431152344,0.1121704751232988,0.08390744329975698,40,40,0.32301855087280273,0.2690153121948242,0.18318564116943348,0.20165806345025136,40,40,0.1480083465576172,0.12500715255737305,0.18319039345679125,0.18320949494691108,40,40,0.346019983291626,0.29201674461364746,0.7854034996680591,1.0531073459716032,40,40,0.9900567531585693,1.200068712234497,0.18318564116943348,0.08388994776927744,40,40,1.343076467514038,1.419081211090088,0.7854034996680591,0.08388994776927744,40,40,1.1160638332366943,0.9720556735992432,0.7854034996680591,0.08388994776927744
ZTF18abnjsfs,DSCT,0.0806261,ASASSN,40,40,0.38602185249328613,0.358020544052124,0.08771808338521332,0.38145952123889804,40,40,0.27701568603515625,0.2650151252746582,0.31773413836399544,2.3020682513499184,40,40,0.1260073184967041,0.12300682067871094,0.053113988009451205,1.4283822599546228,40,40,0.2910163402557373,0.2650151252746582,0.09615168410459361,0.7675939540701369,40,40,1.1250641345977783,1.1140639781951904,0.08771808338521332,0.08769522554309177,40,40,1.2360706329345703,1.2560720443725586,0.09615168410459361,0.08769522554309177,40,40,1.1000628471374512,1.191068172454834,0.09615168410459361,0.1352268532624556
ZTF18acrupio,DSCT,0.111154,ASASSN,40,40,0.34001946449279785,0.3370189666748047,0.16690922177739614,0.166913556348132,40,40,0.27701616287231445,0.24901413917541504,0.20006652284620446,0.4289639167179441,40,40,0.1260073184967041,0.1260073184967041,0.42901984016115907,0.09262663737742471,40,40,0.2540144920349121,0.24601435661315918,0.16690922177739614,0.166913556348132,40,40,1.194068193435669,1.0500600337982178,0.11115184392932015,0.166913556348132,40,40,1.308074712753296,1.2210698127746582,0.11115184392932015,0.166913556348132,40,40,1.2340707778930664,1.2160694599151611,0.11115184392932015,0.166913556348132
ZTF18abokdrv,DSCT,0.1719814,ASASSN,40,40,0.31201767921447754,0.3040173053741455,0.20782655319673868,0.05314029783982938,40,40,0.239013671875,0.2370133399963379,0.5159517463108728,0.5159382354155541,40,40,0.12500715255737305,0.18001031875610352,0.5159382354155541,0.06360561933941118,40,40,0.23201322555541992,0.22701287269592285,0.20782655319673868,0.26231953002213837,40,40,0.950054407119751,0.9640548229217529,0.20782655319673868,0.09410619943299821,40,40,1.0950627326965332,1.1380650997161865,0.20782655319673868,0.09410619943299821,40,40,1.2960741519927979,1.3440768718719482,0.20782655319673868,0.09410619943299821
ZTF18aagrkrh,DSCT,0.0887916,CRTSnorth,40,40,0.28601622581481934,0.3720211982727051,0.2410200328780886,0.10799338586487381,40,40,0.2500145435333252,0.241013765335083,0.16306068869082718,0.1948837172258344,40,40,0.2630152702331543,0.2480144500732422,0.16306068869082718,0.16306068869082718,40,40,0.23001313209533691,0.228013277053833,0.2410200328780886,0.10799338586487381,40,40,0.826047420501709,1.1710667610168457,0.12132825559343074,0.08876686581720059,40,40,1.1050631999969482,1.306074857711792,0.12132825559343074,0.08876686581720059,40,40,1.321075439453125,1.308074712753296,0.12132825559343074,0.08876686581720059
ZTF18aaiwqwc,DSCT,0.059257,LINEAR,40,40,0.4280242919921875,0.4280245304107666,0.059255500813297834,0.6114914579647305,40,40,0.24601387977600098,0.23601365089416504,0.059255500813297834,6.846898407547068,40,40,0.2560145854949951,0.23001313209533691,0.059255500813297834,13.696432661243085,40,40,0.2670154571533203,0.3560206890106201,0.059255500813297834,0.6114914579647305,40,40,1.2730727195739746,1.2080693244934082,0.059255500813297834,0.06723492567123461,40,40,1.2930738925933838,1.2890737056732178,0.059255500813297834,0.06723492567123461,40,40,1.1000628471374512,1.2940740585327148,0.059255500813297834,0.06723492567123461
ZTF18aaaakyv,DSCT,0.064343,ASASSN,40,40,0.38102197647094727,0.38802218437194824,0.0687697962231284,0.06044414414176815,40,40,0.22901320457458496,0.22101259231567383,12.097714557905219,1.3829912864028535,40,40,0.23201322555541992,0.22001266479492188,12.095192064959933,3.053039679069428,40,40,0.3210184574127197,0.31401777267456055,0.0687697962231284,0.06044414414176815,40,40,1.184067726135254,0.9820561408996582,0.0687697962231284,0.06878055060931791,40,40,1.1150639057159424,1.1160635948181152,0.0687697962231284,0.06878055060931791,40,40,1.2630722522735596,1.0870623588562012,0.0687697962231284,0.06878055060931791
ZTF17aaaoujw,DSCT,0.1040589,ASASSN,40,40,0.42902445793151855,0.39402246475219727,0.10405861825791905,0.10405861825791905,40,40,0.2130122184753418,0.2040116786956787,0.10405861825791905,0.10405861825791905,40,40,0.20101141929626465,0.19901132583618164,0.10405861825791905,0.10405861825791905,40,40,0.3190181255340576,0.3350191116333008,0.10405861825791905,0.10405861825791905,40,40,0.8750498294830322,0.8140468597412109,0.10405861825791905,0.10405861825791905,40,40,1.2990741729736328,1.1420652866363525,0.10405861825791905,0.10405861825791905,40,40,1.5130865573883057,1.0280590057373047,0.10405861825791905,0.10405861825791905
ZTF18aaadnum,DSCT,0.0558111,ASASSN,40,40,0.4210240840911865,0.37302112579345703,0.055810538369940633,0.0558119862329622,40,40,0.2130122184753418,0.20301151275634766,0.055810538369940633,0.055810538369940633,40,40,0.20101141929626465,0.19201111793518066,0.055810538369940633,0.055810538369940633,40,40,0.2890164852142334,0.2780158519744873,0.055810538369940633,0.0558119862329622,40,40,0.8150463104248047,1.1230640411376953,0.055810538369940633,0.055810538369940633,40,40,1.0280587673187256,1.1370649337768555,0.055810538369940633,0.055810538369940633,40,40,1.0030572414398193,1.2650725841522217,0.055810538369940633,0.055810538369940633
ZTF18aabkonv,DSCT,0.04893,LINEAR,40,40,0.37702155113220215,0.33601927757263184,0.15868340955431115,0.25600401165296655,40,40,0.2110121250152588,0.20301175117492676,0.0978608541248249,0.5254790610780815,40,40,0.18501043319702148,0.19501137733459473,0.0978608541248249,0.368798875277344,40,40,0.28601670265197754,0.28601622581481934,0.15868340955431115,0.25600401165296655,40,40,1.2760727405548096,1.1820673942565918,0.642117798625776,0.05145562598700572,40,40,1.2740728855133057,1.2910737991333008,0.15867929302206898,0.5254516706125959,40,40,1.2900738716125488,1.2740728855133057,0.15868340955431115,0.5254516706125959
