oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdljjw,LPV,228.16,GAIADR2VS,20,20,0.3040173053741455,224.8800964343711
ZTF18aazfbth,LPV,109.89555,ASASSN,20,20,0.359020471572876,109.35215815146462
ZTF18aawlmoe,LPV,358.3485452,GAIADR2VS,20,20,0.43302488327026367,379.2261863699077
ZTF18aavekqv,LPV,313.872525,GAIADR2VS,20,20,0.3980228900909424,303.8180250793896
ZTF18abdlhcx,LPV,242.7025805,ASASSN,20,20,0.36202073097229004,262.9884813155783
ZTF18abthuog,LPV,214.2038697,ASASSN,20,20,0.3370189666748047,215.95353106044453
ZTF18abeciwa,LPV,309.7112222,ASASSN,20,20,0.3450198173522949,310.72132169353466
ZTF18acrxooo,LPV,399.202,CRTSnorth,20,20,0.29401683807373047,381.0194885563393
ZTF17aaagsaj,LPV,192.9850894,ASASSN,20,20,0.27101564407348633,186.31906107049136
ZTF18abgygoa,LPV,216.2437963,GAIADR2VS,20,20,0.2890167236328125,0.2833883644187957
ZTF17aaawprx,LPV,47.97,GAIADR2VS,20,20,0.2650153636932373,53.11081961425723
ZTF18abmnsck,LPV,202.5920019,GAIADR2VS,20,20,0.29001665115356445,0.1272954171802078
ZTF18aawkncj,LPV,163.0,GAIADR2VS,20,20,0.2760157585144043,216.90124769955983
ZTF18acibfvr,LPV,85.4941689,GAIADR2VS,20,20,0.27501559257507324,766.7684247471794
ZTF17aaaeyya,LPV,136.8711505,GAIADR2VS,20,20,0.27101588249206543,1.5244372164967495
ZTF18acbuynw,LPV,462.17,GAIADR2VS,20,20,0.3210184574127197,512.3296877115109
ZTF18aayocrp,LPV,269.6690845,GAIADR2VS,20,20,0.2910168170928955,267.9145640309349
ZTF17aabrref,LPV,861.1182231,GAIADR2VS,20,20,0.2850165367126465,425.5531055300817
ZTF18aazlugc,LPV,267.241385,GAIADR2VS,20,20,0.2740156650543213,251.56376032122367
