oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF17aaaecfw,LPV,453.436746,GAIADR2VS,10,10,,
ZTF18abcplev,LPV,355.4747085,GAIADR2VS,10,10,,
ZTF17aadglob,LPV,279.33,CRTSnorth,10,10,0.15500879287719727,285.94602608924004
ZTF17aaatlei,LPV,263.5588298,ASASSN,10,10,0.1540088653564453,303.54099539216264
ZTF18abcqkfw,LPV,209.24432,CRTSnorth,10,10,0.16200923919677734,1.0123593910098356
ZTF18acqxpje,LPV,206.8747383,GAIADR2VS,10,10,0.15700912475585938,207.7708493036015
ZTF18aawktvw,LPV,293.6621931,GAIADR2VS,10,10,0.14700841903686523,1.000633070915807
ZTF18abmamzl,LPV,297.06,GAIADR2VS,10,10,0.1390080451965332,1.505091549004604
ZTF18aavqkwl,LPV,257.8552619,GAIADR2VS,10,10,0.14700818061828613,250.8304646187517
ZTF18abchewj,LPV,383.8070985,GAIADR2VS,10,10,0.13600754737854004,373.40985711854154
ZTF18abgqxlw,LPV,330.8572533,GAIADR2VS,10,10,0.13600754737854004,310.2357853821533
ZTF18abbdbsn,LPV,363.8474749,GAIADR2VS,10,10,0.15700888633728027,351.72822597085735
ZTF18aavzlgo,LPV,180.1934649,GAIADR2VS,10,10,0.14500856399536133,186.89783629015685
ZTF18acmyspq,LPV,393.2951067,GAIADR2VS,10,10,0.1610090732574463,385.665509265082
ZTF18abjtkww,LPV,282.7525,GAIADR2VS,10,10,0.14200806617736816,294.1786482716031
ZTF18aabgiey,LPV,224.113495,GAIADR2VS,10,10,0.13800811767578125,299.8139624933251
ZTF18abuiulk,LPV,463.8426616,GAIADR2VS,10,10,0.14300823211669922,0.9922960112919984
