oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdeyrl,RRL,0.4752162,GAIADR2VS,30,30,0.16400909423828125,0.1370079517364502,0.32185167784791807,0.4752209682153387,30,30,0.11600661277770996,0.09400534629821777,0.47523341284594384,0.4752209682153387,30,30,0.08500480651855469,0.08500480651855469,0.32185167784791807,0.4752209682153387,30,30,0.113006591796875,0.09600543975830078,0.32185167784791807,0.4752209682153387,30,30,0.3240184783935547,0.2870163917541504,0.32184332843815444,0.4752209682153387,30,30,0.3410196304321289,0.29201698303222656,0.4752209682153387,0.4752209682153387,30,30,0.3150181770324707,0.30301737785339355,0.4752209682153387,0.4752209682153387
ZTF18aaoemnc,RRL,0.5934010000000001,LINEAR,30,30,0.1370079517364502,0.11800670623779297,0.5934345530374898,0.5934345530374898,30,30,0.1000056266784668,0.09000515937805176,0.2711551627725683,0.5934345530374898,30,30,0.07900428771972656,0.07700443267822266,9.377274218303874,6.300470631437826,30,30,0.10300588607788086,0.09800577163696289,0.5934345530374898,0.5934345530374898,30,30,0.29901695251464844,0.30701780319213867,0.5934036268569496,0.5934345530374898,30,30,0.2960169315338135,0.3240184783935547,0.5934036268569496,0.5934190856964766,30,30,0.31401801109313965,0.2950170040130615,0.5934036268569496,0.5934190856964766
ZTF18abddqtn,RRL,0.626065,LINEAR,30,30,0.11900711059570312,0.11800670623779297,0.6260706563109385,1.6817518298196856,30,30,0.09500551223754883,0.09600543975830078,2.4655367397098895,1.6821025648145214,30,30,0.07900452613830566,0.07700467109680176,0.6260706563109385,3.3638876367774446,30,30,0.09800553321838379,0.09800553321838379,0.6260706563109385,1.6817518298196856,30,30,0.2980170249938965,0.3020172119140625,0.6261032883873913,1.681576517165332,30,30,0.2960171699523926,0.2960169315338135,0.6261032883873913,1.681576517165332,30,30,0.29701709747314453,0.29401683807373047,0.6261032883873913,1.681576517165332
ZTF18acrygnp,RRL,0.708755,LINEAR,30,30,0.1260073184967041,0.12700724601745605,0.7087321774339616,2.4499063511392323,30,30,0.09800553321838379,0.09400558471679688,0.7087691257003593,1.4174045114336007,30,30,0.07800459861755371,0.0740041732788086,0.7087137916501692,2.450098071175804,30,30,0.12100696563720703,0.10300588607788086,0.7087137916501692,2.4499063511392323,30,30,0.30701780319213867,0.3000171184539795,0.7087321774339616,0.7087321774339616,30,30,0.2930166721343994,0.29401659965515137,0.7087691257003593,0.7087321774339616,30,30,0.2980170249938965,0.2980167865753174,0.7087691257003593,0.7087321774339616
ZTF18aabasna,RRL,0.399636,CRTSnorth,30,30,0.1260073184967041,0.126007080078125,0.39963666126502767,0.39963666126502767,30,30,0.09700536727905273,0.09300541877746582,0.3996574965708333,0.3996158281315187,30,30,0.07800459861755371,0.07500433921813965,2.00243381932835,0.3996574965708333,30,30,0.09900569915771484,0.09600543975830078,0.39963666126502767,0.39963666126502767,30,30,0.3090176582336426,0.3060173988342285,0.3996574965708333,0.39963666126502767,30,30,0.3040173053741455,0.29401683807373047,0.3996574965708333,0.39963666126502767,30,30,0.3040175437927246,0.31001782417297363,0.3996574965708333,0.39963666126502767
ZTF18abbwgvd,RRL,0.576689,ASASSN,30,30,0.12500715255737305,0.12200689315795898,0.5766919186956881,0.5766618619061303,30,30,0.09800529479980469,0.08800482749938965,0.5766919186956881,0.5766919186956881,30,30,0.07900428771972656,0.07500457763671875,3.72226195617048,2.7351111160296977,30,30,0.1000058650970459,0.09400534629821777,0.5766919186956881,0.5766618619061303,30,30,0.30301737785339355,0.30501723289489746,0.5766919186956881,0.5766919186956881,30,30,0.29701685905456543,0.29001665115356445,0.5766919186956881,0.5766919186956881,30,30,0.346019983291626,0.2890162467956543,0.5766919186956881,0.5766919186956881
ZTF18aabhkoz,RRL,0.33383,CRTSnorth,30,30,0.12300705909729004,0.12200713157653809,0.3338304152579865,0.33384781699249144,30,30,0.09000539779663086,0.09500527381896973,0.3338304152579865,0.3338304152579865,30,30,0.07700467109680176,0.07800436019897461,0.3338304152579865,0.3338304152579865,30,30,0.09800553321838379,0.09700512886047363,0.3338304152579865,0.33384781699249144,30,30,0.30501723289489746,0.3020174503326416,0.3338304152579865,0.3338304152579865,30,30,0.2930166721343994,0.2930166721343994,0.3338130153375093,0.3338304152579865,30,30,0.2960166931152344,0.2910168170928955,0.3338130153375093,0.3338304152579865
ZTF18abjhvuc,RRL,0.272071,CRTSnorth,30,30,0.126007080078125,0.1240072250366211,0.272068407050483,0.2720825885485959,30,30,0.09800577163696289,0.09600543975830078,0.3741628044720515,0.2720825885485959,30,30,0.07700419425964355,0.07300400733947754,0.3741628044720515,0.27209677152519995,30,30,0.09900569915771484,0.09700560569763184,0.272068407050483,0.2720825885485959,30,30,0.29201674461364746,0.30301713943481445,0.2720825885485959,0.2720825885485959,30,30,0.29901719093322754,0.2930166721343994,0.37414329929543694,0.272068407050483,30,30,0.3350191116333008,0.29001665115356445,0.3741628044720515,0.2720825885485959
ZTF17aaajahq,RRL,0.5326960000000001,LINEAR,30,30,0.1260073184967041,0.12400698661804199,1.1435171322757873,0.347240099862337,30,30,0.09700560569763184,0.09600543975830078,1.1432191511404948,0.3472219962838372,30,30,0.07900476455688477,0.07500433921813965,1.1433979211830392,1.0653099150220857,30,30,0.10100579261779785,0.09500527381896973,1.1435171322757873,0.347240099862337,30,30,0.3020172119140625,0.30301713943481445,1.1434575236223272,0.5327051730475089,30,30,0.30101728439331055,0.3300187587738037,0.5327051730475089,0.532732937277878,30,30,0.3280186653137207,0.2950170040130615,0.5327051730475089,0.5327051730475089
ZTF18abcxivv,RRL,0.61552,ASASSN,30,30,0.1260068416595459,0.12100696563720703,0.6156173722750857,0.6155852883896206,30,30,0.09600543975830078,0.0890052318572998,0.3806451052673658,1.2311506369946534,30,30,0.08000445365905762,0.07700467109680176,2.4625823565971343,16.516007191382116,30,30,0.09900569915771484,0.09300518035888672,0.6156173722750857,8.269551941542211,30,30,0.31001758575439453,0.30501723289489746,0.3806451052673658,0.6155532078481873,30,30,0.30301737785339355,0.29401707649230957,0.6155692437094962,0.6155532078481873,30,30,0.33801937103271484,0.2910165786743164,0.6155692437094962,0.6155532078481873
