oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdeyrl,RRL,0.4752162,GAIADR2VS,20,20,0.11900711059570312,0.09400534629821777,0.32185167784791807,0.2629698693523494,20,20,0.07100415229797363,0.07300424575805664,2.2568567711366816,0.4752209682153387,20,20,0.06000351905822754,0.06100344657897949,0.32181812497045237,0.6441125986303582,20,20,0.09200549125671387,0.0760042667388916,0.32185167784791807,0.2629698693523494,20,20,0.1650094985961914,0.1350078582763672,0.32184332843815444,0.3218349005346719,20,20,0.1650094985961914,0.16600918769836426,0.47523341284594384,0.3218349005346719,20,20,0.15500879287719727,0.14700841903686523,0.32184332843815444,0.3218349005346719
ZTF18aaoemnc,RRL,0.5934010000000001,LINEAR,20,20,0.09600567817687988,0.0870051383972168,0.5934345530374898,0.5934190856964766,20,20,0.06800365447998047,0.06100320816040039,3.1488903933591037,0.5934190856964766,20,20,0.05800342559814453,0.05300307273864746,19.573798117643364,0.3720234445726037,20,20,0.07300400733947754,0.06900405883789062,0.5934345530374898,0.5934190856964766,20,20,0.14900851249694824,0.14600825309753418,1.465146552971679,0.6292771901032217,20,20,0.1480083465576172,0.14000797271728516,0.31740304880073167,0.5933881458104204,20,20,0.1500086784362793,0.14600825309753418,0.5933881458104204,0.5933881458104204
ZTF18abddqtn,RRL,0.626065,LINEAR,20,20,0.08600497245788574,0.0870051383972168,1.6814888745439194,0.36444150862069,20,20,0.07000398635864258,0.062003374099731445,0.08131519303099981,0.36443196522616145,20,20,0.05500316619873047,0.05300307273864746,0.10400709870106584,1.6817958699224818,20,20,0.07300400733947754,0.07000422477722168,1.681576517165332,0.3644509631323157,20,20,0.14300823211669922,0.1370077133178711,0.6260706563109385,0.3644509631323157,20,20,0.14900827407836914,0.1370077133178711,0.6260706563109385,0.3644509631323157,20,20,0.1480083465576172,0.1390078067779541,0.6260706563109385,0.3644509631323157
ZTF18acrygnp,RRL,0.708755,LINEAR,20,20,0.09100532531738281,0.08600497245788574,0.7087691257003593,0.4143267860016054,20,20,0.06700396537780762,0.06400370597839355,0.7087321774339616,0.4142835926400719,20,20,0.06400346755981445,0.05300307273864746,0.7087137916501692,0.8816943958731545,20,20,0.07900476455688477,0.06600379943847656,0.7087321774339616,0.4143267860016054,20,20,0.14200830459594727,0.14600825309753418,0.7087321774339616,0.7087321774339616,20,20,0.14900851249694824,0.14000797271728516,0.7087691257003593,0.7087137916501692,20,20,0.13800787925720215,0.13800787925720215,0.7087691257003593,0.7087321774339616
ZTF18aabasna,RRL,0.399636,CRTSnorth,20,20,0.08600473403930664,0.08400487899780273,1.110473223160045,0.22431395298247903,20,20,0.06500387191772461,0.062003374099731445,2.001025091241172,0.41349613314640926,20,20,0.05800366401672363,0.05500292778015137,7.370650801523297,3.732560125288012,20,20,0.07000398635864258,0.07000398635864258,1.110473223160045,0.22431395298247903,20,20,0.15100860595703125,0.14200830459594727,0.39963666126502767,0.39963666126502767,20,20,0.1500084400177002,0.14600872993469238,0.39963666126502767,0.39963666126502767,20,20,0.14600849151611328,0.1630091667175293,0.3996574965708333,0.39963666126502767
ZTF18abbwgvd,RRL,0.576689,ASASSN,20,20,0.09100508689880371,0.08300471305847168,0.5767219786186515,0.8760363585992257,20,20,0.06500387191772461,0.06400370597839355,3.7636261005731213,0.2883581365735592,20,20,0.05700325965881348,0.05500292778015137,34.04098947486127,14.88546344206873,20,20,0.07000398635864258,0.0630037784576416,0.5767219786186515,0.8760363585992257,20,20,0.14500808715820312,0.13400793075561523,0.5766919186956881,1.367577528593432,20,20,0.14400839805603027,0.14700841903686523,1.3620991728304512,1.367577528593432,20,20,0.1480085849761963,0.14700865745544434,1.3620991728304512,0.5766919186956881
ZTF18aabhkoz,RRL,0.33383,CRTSnorth,20,20,0.0870051383972168,0.08200454711914062,0.3338304152579865,0.33384781699249144,20,20,0.06500363349914551,0.06200361251831055,0.2502576853173986,2.3613199702598804,20,20,0.05600309371948242,0.05500316619873047,0.05841211459599828,2.385694474132783,20,20,0.07000398635864258,0.07000398635864258,0.3338304152579865,0.33384781699249144,20,20,0.14400815963745117,0.1410081386566162,0.3338130153375093,0.3338304152579865,20,20,0.14200830459594727,0.1480085849761963,0.3338130153375093,0.3338304152579865,20,20,0.14700865745544434,0.14700841903686523,0.3338130153375093,0.3338304152579865
ZTF18abjhvuc,RRL,0.272071,CRTSnorth,20,20,0.0890052318572998,0.08100461959838867,0.3741628044720515,0.2720825885485959,20,20,0.06600379943847656,0.06100344657897949,0.37414329929543694,0.6200942738341388,20,20,0.05800318717956543,0.0500030517578125,0.556564186067436,2.563305743633532,20,20,0.07200407981872559,0.06900405883789062,0.3741628044720515,0.2720825885485959,20,20,0.14900851249694824,0.14000773429870605,0.2720825885485959,0.2720825885485959,20,20,0.14600872993469238,0.15700888633728027,1.4924736630837476,0.2720825885485959,20,20,0.13800764083862305,0.14000797271728516,1.492551461957827,0.272068407050483
ZTF17aaajahq,RRL,0.5326960000000001,LINEAR,20,20,0.08400487899780273,0.08500480651855469,1.1434575236223272,0.347185794789295,20,20,0.06800413131713867,0.06100344657897949,0.08434818212159678,4.531203427583175,20,20,0.05700325965881348,0.05300307273864746,0.1284352048770099,0.5326912885634848,20,20,0.07000374794006348,0.07200431823730469,1.1434575236223272,0.347185794789295,20,20,0.1500084400177002,0.14000773429870605,0.22732745361612874,0.3472219962838372,20,20,0.1480088233947754,0.14200806617736816,0.5327051730475089,0.532732937277878,20,20,0.14200806617736816,0.14200830459594727,0.5327051730475089,0.5327051730475089
ZTF18abcxivv,RRL,0.61552,ASASSN,20,20,0.08800506591796875,0.0870048999786377,2.6434362669407334,0.30775750812936864,20,20,0.0650033950805664,0.06400370597839355,2.325588459544463,0.6155852883896206,20,20,0.05800342559814453,0.05500316619873047,1.6082740823640846,0.32264123843224324,20,20,0.07100391387939453,0.06700372695922852,2.6434362669407334,0.30775750812936864,20,20,0.14000797271728516,0.14200806617736816,2.643849761636271,0.6155852883896206,20,20,0.14400815963745117,0.1390080451965332,0.634878566982577,0.6155852883896206,20,20,0.1500086784362793,0.14500808715820312,2.6437119156984736,0.6155852883896206
ZTF18aazgeoe,RRL,0.712364,LINEAR,20,20,0.08500480651855469,0.0870048999786377,0.4155813883317392,0.2624357882681863,20,20,0.06400370597839355,0.0630035400390625,0.2960037225384826,2.4931301428330737,20,20,0.057003021240234375,0.054003000259399414,0.2259864416739108,7.194697808254237,20,20,0.07000398635864258,0.07900452613830566,0.4155813883317392,0.2624357882681863,20,20,0.14500856399536133,0.14500808715820312,0.7123992436599332,0.33303955300592675,20,20,0.14500832557678223,0.1480085849761963,0.18583057614633067,0.46633733066614264,20,20,0.1480083465576172,0.14600825309753418,2.4926104089493033,0.46633733066614264
ZTF18abxnnxr,RRL,0.357637,CRTSnorth,20,20,0.08800506591796875,0.08400464057922363,0.35767531511803946,0.35767531511803946,20,20,0.0630035400390625,0.06100344657897949,0.35769396274297466,8.619688174982207,20,20,0.05300283432006836,0.054003238677978516,2.5224785504390286,4.555123664404474,20,20,0.06900358200073242,0.06400370597839355,0.35767531511803946,0.35767531511803946,20,20,0.14400815963745117,0.15900921821594238,0.35767531511803946,0.5577113151726183,20,20,0.14400815963745117,0.15500903129577637,0.35767531511803946,0.0608028368095079,20,20,0.14300823211669922,0.14900851249694824,0.35767531511803946,0.5577985541476407
ZTF18abginjf,RRL,0.45482,ASASSN,20,20,0.0890049934387207,0.08600497245788574,0.5048702513689844,0.1906881076889811,20,20,0.06500363349914551,0.059003353118896484,0.5016042318754426,0.11488974975764786,20,20,0.05500316619873047,0.054003000259399414,1.3555824295626264,9.188796275734807,20,20,0.07100439071655273,0.08100438117980957,0.5048702513689844,0.29453375210499566,20,20,0.15100884437561035,0.1410081386566162,0.2580674415745203,0.8362558629326672,20,20,0.1480085849761963,0.13600778579711914,0.3019257077817891,0.7181599926530016,20,20,0.15600895881652832,0.14000797271728516,0.3019257077817891,0.8361905759129408
ZTF18aaavvzf,RRL,0.550248,LINEAR,20,20,0.0870051383972168,0.08600497245788574,0.07590607746072553,1.2278498864573664,20,20,0.0630035400390625,0.06400370597839355,5.3924163841293415,0.5502463937314443,20,20,0.05500316619873047,0.05500316619873047,0.5502463937314443,0.05382894677025133,20,20,0.06800389289855957,0.06800365447998047,0.07590607746072553,1.2278498864573664,20,20,0.14600825309753418,0.14000821113586426,0.5502177122748986,0.26177312418031906,20,20,0.14400815963745117,0.14700841903686523,0.5502750781783295,0.26177312418031906,20,20,0.14900875091552734,0.14500808715820312,0.5502463937314443,0.26177312418031906
ZTF18aaaufty,RRL,0.62247,LINEAR,20,20,0.08600497245788574,0.08200478553771973,0.62242602846711,0.6224584739603943,20,20,0.06600403785705566,0.0630035400390625,0.6224747743054831,0.29134987530190115,20,20,0.05600309371948242,0.05600333213806152,1.218318261693844,0.6224584739603943,20,20,0.07000398635864258,0.06400370597839355,0.62242602846711,0.6224584739603943,20,20,0.1410081386566162,0.14500856399536133,0.6223935863560761,0.62242602846711,20,20,0.1480085849761963,0.14300823211669922,0.6223935863560761,0.62242602846711,20,20,0.14700841903686523,0.14000797271728516,0.62242602846711,0.62242602846711
